Module Name,Sub Module,Feature / Requirement,Expected Flow,Frontend UI Available,Frontend Logic Status,API Integration Status,Backend Required,Backend Available,Database Required,Validation Status,Role-Based Access,Current Status,Completion %,Remaining Work,Priority,Notes
1. Authentication,Login,Patient email + password sign-in,User submits credentials -> backend verifies -> JWT issued -> MFA challenge if required,Yes,Completed,Done (demo),Yes,Partial,Yes,Done (client + scope check),Yes,Partial,50,"Real user DB, password hashing (bcrypt/argon2), brute-force counter, IP tracking",High,app/(auth)/login + /api/auth/login route uses hardcoded DEMO_PASSWORD against demo-users.ts. No real user table.
1. Authentication,Login,Staff (clinician/admin) sign-in,Staff submits username/password -> mandatory MFA -> role-scoped session,Yes,Completed,Done (demo),Yes,Partial,Yes,Done,Yes,Partial,50,"Real staff provisioning, MFA enforcement at API, device binding, shorter session for staff",High,/staff-login and /super-login pages share /api/auth/login. Demo-only.
1. Authentication,Registration,Patient self-registration,Multi-step form -> email verify -> account active,Yes,Completed,Done (demo),Yes,No,Yes,Done (Zod-style HTML validation),Yes,Partial,50,"Persist user, send verification email via SendGrid, dedupe email/MRN",High,registration-wizard.tsx is fully built. /api/auth/register returns mock success.
1. Authentication,Email Verification,OTP-based email verify,User clicks email link or types OTP -> account activated,Yes,Completed,Done (demo),Yes,Partial,Yes,Done,N/A,Partial,55,Real SendGrid template + token storage + expiry enforcement,High,/verify-email page + /api/auth/verify-email route. Dev OTP shown inline.
1. Authentication,Forgot Password,Password reset request,User submits email -> emailed signed reset link,Yes,UI Only,Missing,Yes,No,Yes,Partial,N/A,Backend Missing,25,"POST /auth/password/reset/request endpoint, token table, SendGrid integration",High,/forgot-password page is toast-stub only.
1. Authentication,Reset Password,Set new password via signed link,User opens link -> sets new password -> session invalidation,Yes,UI Only,Missing,Yes,No,Yes,Partial (password rules client-side),N/A,Backend Missing,25,"POST /auth/password/reset/confirm with token verification, history check",High,/reset-password page is toast-stub only.
1. Authentication,MFA Enrollment,TOTP setup with QR + recovery codes,User scans QR in authenticator app -> verifies code -> saves recovery codes,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,30,"POST /auth/mfa/enroll + /auth/mfa/verify, encrypted secret store, recovery code hashing",High,/mfa-setup + /mfa-recovery-codes pages render QR/codes from mock data.
1. Authentication,MFA Challenge,Verify TOTP during login,Post-password OTP page -> server validates code -> issues session,Yes,Completed,Done (demo),Yes,Partial,Yes,Done,Yes,Partial,55,"Real TOTP RFC 6238 verification, attempt counter, lockout after N fails",High,/mfa-challenge calls /api/auth/verify-otp. Uses pending-cookie OTP hash.
1. Authentication,MFA Prompt,Optional MFA prompt for patients post-login,Patient sees skip/setup choice once -> remembers dismissal,Yes,Completed,N/A,No,N/A,No,Done,Yes,Completed,85,Nothing critical - dismissal lives in localStorage,Low,/mfa-prompt page works end-to-end including dismissal persistence.
1. Authentication,Invitation Acceptance,Accept staff or patient invite token,Email link -> set password -> MFA enroll for staff -> dashboard,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,Backend Missing,35,"POST /auth/invitation/accept, token table with expiry, email dispatch",High,/(auth)/invite/[token]/page.tsx renders; submit is a toast.
1. Authentication,Session Management,JWT issue/refresh/revoke,"Short access token (15m) + rotating refresh token, idle timeout, device tracking",Yes,Partial,Partial,Yes,Partial,Yes,Partial,Yes,Partial,50,"Refresh token rotation, sessions table, force-logout from another device",High,lib/auth.ts signs JWT with dev-only secret. /api/auth/logout clears cookies (built recently). No refresh.
1. Authentication,Session Management,Idle timeout warning + auto-logout,After N min idle -> warning modal -> auto-logout if no extension,Yes,Completed,N/A (client),No,N/A,No,Done,Yes,Completed,80,Sync with server-side session expiry on production,Medium,components/shared/idle-timeout.tsx works. Calls logout on expiry.
1. Authentication,Account Lockout,Progressive backoff after failed logins,After N fails -> temporary lock -> CAPTCHA on suspicious,No,Not Started,Missing,Yes,No,Yes,Missing,Yes,Not Started,0,"Attempt counter, exponential lockout, optional CAPTCHA integration",High,No UI or logic exists.
1. Authentication,Active Sessions / Devices,List + revoke active sessions,User sees devices/sessions and can force-logout,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,Real sessions table + revoke endpoint,Medium,/patient/settings SessionsTab shows device + IP + trusted/untrusted state + per-row revoke + sign-out-all.
2. Patient,Dashboard,"Quick stats + widgets (next appt, records, consents, msgs)",Server returns aggregated summary -> dashboard widgets populated,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,GET /patients/me/dashboard-summary endpoint + real data,Medium,/patient/dashboard uses patient-store (localStorage demo).
2. Patient,Medical Records,Categorized list with filter/search,Server returns consent-evaluated record list,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,"GET /patients/{id}/records, consent guard, encrypted record store",High,patient/records + records-data.ts mock. Detail page with record-actions.
2. Patient,Medical Records,Detail view with download as PDF,User opens record -> sees metadata -> client-side PDF export available,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,Partial,50,Real record fetch + audit-log download event,High,jsPDF used for client-side export. record-actions.tsx wires download button.
2. Patient,Appointments,Book + reschedule + cancel + calendar view,"Patient sees clinician slots, books, gets reminders",Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,Static Data Only,55,"Slot management API, conflict detection, reminders dispatch",High,"/patient/appointments (list, new, detail, calendar-view). form-dialogs has reschedule/cancel."
2. Patient,Documents,Upload + list + consent-bound sharing,Drag-drop -> presigned S3 URL -> virus scan -> registered metadata,Yes,Partial,Missing,Yes,No,Yes,Partial (file type/size),Yes,UI Only,40,"S3 integration, virus scan hook, retention enforcement, real signed URLs",High,/patient/documents + /upload pages render. No real S3 upload.
2. Patient,Consents,List + grant + revoke with duration picker,Patient grants scope+role+duration -> PHI access guard updated,Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,Static Data Only,60,"Consent table, version snapshot at grant, server-side evaluation guard",High,"/patient/consents (list, grant w/ duration-picker, detail)."
2. Patient,Messages,Threaded encrypted chat with clinicians,Patient sends/reads messages with attachments,Yes,Completed,Missing,Yes,No,Yes,Partial,Yes,Static Data Only,50,"Encrypted body storage, attachment via S3, real-time delivery (WS/poll)",High,/patient/messages + messages-view + emoji-picker. Local state only.
2. Patient,Notifications,Categorized in-app feed,User sees + filters + marks-read; backend dispatches per channel,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,"GET /notifications, mark-read PATCH, dispatch worker",Medium,/patient/notifications uses patient-store. Tabs + filters work.
2. Patient,Settings,"Profile, password, MFA, prefs, devices",User edits profile + security settings -> saved server-side,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,55,"Real profile update API, password change, notification prefs",Medium,/patient/settings with account-widgets + DataTab (export+delete buttons).
2. Patient,Data Rights,Export PHI (right-of-access),Patient clicks export -> server bundles PHI -> emailed/downloaded,Yes,Partial,Missing,Yes,No,Yes,N/A,Yes,UI Only,35,"Server-side bundling job, audit-log of export, email-delivery option",High,DataTab.exportPhi() bundles client state only.
2. Patient,Data Rights,Submit deletion request (right-to-be-forgotten),Patient submits request -> compliance reviews -> partial/full deletion,Yes,UI Only,Missing,Yes,No,Yes,Missing,Yes,UI Only,25,POST /patient/data-requests + queue + compliance-side fetch (see Mod 14),High,Settings DataTab Submit button only fires toast. Compliance queue is hardcoded.
3. Doctor (Clinician),Dashboard,"Today's queue, tasks, recent patients",Aggregated daily view for the clinician,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,GET /clinicians/me/dashboard with consent-scoped data,Medium,"/clinician/dashboard - mock data, role-locked via middleware."
3. Doctor (Clinician),Patient Panel,Search + filter assigned patients,Clinician sees only assigned patients,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,GET /clinicians/me/patients with assignment + consent guard,High,/clinician/patients + [id] detail with timeline.
3. Doctor (Clinician),Schedule,Daily/weekly schedule + slot block,Clinician sees own schedule + sets availability,Yes,Completed,Missing,Yes,No,Yes,Partial,Yes,Static Data Only,55,Slot template management + override + conflict detection,Medium,/clinician/schedule - calendar UI works.
3. Doctor (Clinician),Clinical Notes,Compose note + finalize (lock),Clinician writes note -> save draft -> finalize (immutable),Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,"Versioning, finalize endpoint, append-only after finalize",High,/clinician/notes + /new. Submit is toast.
3. Doctor (Clinician),Tasks,Pending reviews/signatures/replies,Tasks queue with action shortcuts,Yes,Partial,Missing,Yes,No,Yes,Missing,Yes,Static Data Only,40,Tasks table + assignment + completion events,Medium,/clinician/tasks - static list.
3. Doctor (Clinician),Messages,Encrypted chat with assigned patients,Clinician messages assigned patients only,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,Real thread API + WS/polling for delivery,Medium,/clinician/messages now has its own thread list (urgent/lab-ready/consent-pending flags + unread counts). Re-export bug fixed.
3. Doctor (Clinician),Notifications,In-app feed for clinician,"Notifications for new messages, appointments, tasks",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real dispatcher + per-user preferences,Medium,/clinician/notifications has own page.
3. Doctor (Clinician),Settings,"Profile, MFA, notification prefs",Edit personal settings,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,50,Real save API,Medium,/clinician/settings.
4. Nurse,All,Nurse role (entire module),Spec defines 6 roles (no nurse). Codebase has no /nurse routes.,No,Not Started,N/A,No,N/A,No,N/A,N/A,Not Started,0,Out of scope per spec. Skip unless requirements change.,Low,Spec section 4 lists Patient/Clinician/Org Admin/Compliance/Auditor/Super Admin only.
5. Super Admin,Dashboard,Cross-tenant platform health overview,"Stats on tenants, queues, security events",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real platform metrics aggregation API,Medium,/super/dashboard - static.
5. Super Admin,Tenants,List + new tenant onboarding,Provision a new tenant with region/tier/admin,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,"POST /organizations, tenant DB row, seed admin invitation",High,/super/tenants + /new with region-picker. Submit is toast.
5. Super Admin,Platform Config,Subscription tiers + feature flags,Edit tier + features,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,"Feature flag store, tier configuration API",Medium,/super/platform + edit-tier-dialog.
